state,city,population,lat,lng,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
CA,San Marcos,96198.0,33.135,-117.1743,57822.0,16.0,81.4,63.5,2.3,0.7,9.0,36.6
CA,San Mateo,104748.0,37.5522,-122.3122,90208.0,7.6,88.0,57.8,2.4,0.5,18.9,26.6
CA,San Ysidro,4178.0,,,,,,,,,,
CA,Sand City,387.0,36.6189,-121.8478,40625.0,30.8,79.6,66.8,3.9,0.9,4.8,36.8
CA,Santa Ana,334136.0,33.7366,-117.8819,52253.0,22.1,54.8,45.9,1.5,1.0,10.5,78.2
CA,Santa Barbara,204034.0,34.4285,-119.7202,66107.0,13.9,84.1,75.1,1.6,1.0,3.5,38.0
CA,Santa Clara,127134.0,37.3646,-121.968,98914.0,8.4,91.9,45.0,2.7,0.5,37.7,19.4
CA,Santa Clarita,309378.0,34.4155,-118.4992,83554.0,9.3,89.0,70.9,3.2,0.6,8.5,29.5
CA,Santa Cruz,177556.0,36.9789,-122.0346,62164.0,23.8,92.8,74.5,1.8,0.7,7.7,19.4
CA,Santa Maria,140219.0,34.9333,-120.4432,50433.0,21.2,58.7,56.2,1.7,1.8,5.1,70.4
CA,Santa Monica,92306.0,34.0232,-118.4813,76580.0,11.3,95.3,77.6,3.9,0.4,9.0,13.1
CA,Santa Nella,1976.0,37.1014,-121.0153,28144.0,58.7,58.7,60.3,1.6,1.8,2.2,70.1
CA,Santa Paula,30747.0,34.3521,-119.0698,52824.0,18.0,64.3,63.0,0.5,1.6,0.7,79.5
CA,Santa Rosa,321908.0,38.4458,-122.7067,118677.5,9.0,91.0,79.05,1.5499999999999998,1.05,5.4,19.6
CA,Santee,58113.0,32.8554,-116.9851,76104.0,7.8,92.9,82.5,2.0,0.8,3.8,16.3
CA,Saratoga,30905.0,37.2684,-122.0263,169189.0,3.6,98.2,53.9,0.3,0.1,41.4,3.5
CA,Seaside,118110.0,36.6224,-121.8191,51704.0,18.7,75.8,48.4,8.4,1.1,9.7,43.4
CA,Selma,44626.0,36.5744,-119.6156,42948.0,24.3,62.0,55.4,1.2,2.1,4.6,77.6
CA,Shafter,20889.0,35.4794,-119.2013,40881.0,21.7,57.9,48.0,1.3,1.2,0.7,80.3
CA,Sherman Oaks,4178.0,,,,,,,,,,
CA,Siskiyou County,4178.0,,,,,,,,,,
CA,Smartsville,140.0,39.2053,-121.2928,25063.0,3.7,100.0,88.7,0.0,2.8,0.0,10.2
CA,Solvang,16741.0,34.5936,-120.1401,67484.0,11.1,92.8,82.5,0.7,1.1,1.4,29.2
CA,South El Monte,20987.0,34.0493,-118.0484,40938.0,20.5,49.9,50.4,0.5,1.2,11.0,84.9
CA,South Gate,95430.0,33.9448,-118.1926,43552.0,20.0,52.4,50.5,0.9,0.9,0.8,94.8
CA,South Lake Tahoe,29890.0,38.9393,-119.9828,39793.0,18.5,84.6,73.5,0.9,1.1,5.5,31.1
CA,South Los Angeles,4178.0,,,,,,,,,,
CA,Stanton,38528.0,33.8002,-117.9935,46801.0,21.8,68.0,44.5,2.2,1.1,23.1,50.8
CA,Stockton,394467.0,37.9766,-121.3111,44797.0,25.3,74.9,37.0,12.2,1.1,21.5,40.3
CA,Studio City,4178.0,,,,,,,,,,
CA,Sunnyvale,153656.0,37.3836,-122.0257,105401.0,7.5,91.4,43.0,2.0,0.5,40.9,18.9
CA,Sylmar,4178.0,,,,,,,,,,
CA,Tehachapi,14491.0,35.127,-118.475,41705.0,22.0,75.6,65.4,9.0,1.4,1.7,37.9
CA,Tehama County,4178.0,,,,,,,,,,
CA,Temecula,114327.0,33.4928,-117.1315,79925.0,7.0,91.4,70.8,4.1,1.1,9.8,24.7
CA,Thousand Oaks,218729.0,34.1914,-118.8755,100946.0,6.2,92.4,80.3,1.3,0.4,8.7,16.8
CA,Torrance,146758.0,33.8346,-118.3417,79549.0,7.0,93.5,51.1,2.7,0.4,34.5,16.1
CA,Tulare,63855.0,36.1996,-119.3401,46659.0,21.7,71.7,61.3,3.9,1.2,2.2,57.5
CA,Turlock,107208.0,37.5053,-120.8587,51401.0,17.5,81.2,69.8,1.7,0.9,5.6,36.4
CA,Tustin,80498.0,33.7309,-117.8106,71897.0,13.6,83.5,52.6,2.3,0.6,20.3,39.7
CA,Twentynine Palms,13664.0,34.1478,-116.0659,41582.0,17.9,89.9,71.6,8.2,1.3,3.9,20.8
CA,Union City,75343.0,37.603,-122.0187,85521.0,8.1,87.8,23.9,6.3,0.5,50.9,22.9
CA,University City,4178.0,,,,,,,,,,
CA,Vacaville,100801.0,38.359,-121.968,74001.0,10.7,88.4,66.3,10.3,0.9,6.1,22.9
CA,Valinda,25080.0,34.04,-117.9301,65849.0,12.5,66.2,48.5,1.9,1.1,11.9,78.8
CA,Vallejo,173844.0,38.1133,-122.2359,57028.0,18.3,87.4,32.8,22.1,0.7,24.9,22.6
CA,Valley View,4178.0,,,,,,,,,,
CA,Van Nuys,4178.0,,,,,,,,,,
CA,Venice,4178.0,,,,,,,,,,
CA,Victorville,346948.0,34.5277,-117.3536,45894.0,26.0,78.3,48.5,16.8,1.4,4.0,47.8
CA,Visalia,234573.0,36.3276,-119.3269,52157.0,21.3,82.7,64.5,2.1,1.4,5.4,46.0
CA,Vista,101568.0,33.1896,-117.2386,46411.5,20.700000000000003,66.7,60.8,1.7999999999999998,3.0,2.2,66.7
CA,Walnut Creek,69773.0,37.9025,-122.0398,82120.0,5.9,97.3,78.7,1.6,0.2,12.5,8.6
CA,Wasco,26935.0,35.5938,-119.3671,39580.0,32.7,51.1,49.2,7.6,1.1,0.7,76.7
CA,Watsonsville,4178.0,,,,,,,,,,
